,機車等級,使用頻率,使用距離
457,N,F,
458,N,F,less_40
459,N,U,less_40
460,N,U,less_40
461,N,U,less_5
462,N,U,less_40
463,N,F,less_5
464,N,U,less_15
465,N,U,less_15
466,N,U,less_40
467,N,F,less_15
468,N,U,less_5
469,N,F,less_15
470,N,U,less_15
471,N,U,less_15
472,N,U,less_40
473,N,F,less_5
474,S,F,less_5
475,S,F,less_40
476,S,U,
477,R,F,higher_40
478,N,F,less_40
479,N,F,less_5
480,N,U,
481,Y,F,less_40
482,Y,,
483,Y,U,less_40
484,N,,
485,N,F,less_40
486,N,U,less_40
487,N,F,less_5
488,N,F,less_5
489,N,U,less_5
490,R,F,higher_40
491,S,F,less_5
492,R,F,higher_40
493,S,U,less_15
494,N,U,less_5
495,N,U,less_5
496,N,U,less_40
497,N,U,less_40
498,N,F,less_15
499,Y,F,less_40
500,N,F,less_40
501,N,F,less_40
502,N,U,less_5
503,S,U,less_5
504,N,U,less_5
505,N,F,less_5
506,N,U,
507,N,F,less_5
508,N,U,less_40
509,N,U,less_5
510,N,U,less_40
511,N,U,less_40
512,Y,U,higher_40
513,N,U,less_15
514,Y,F,less_40
515,N,U,less_40
516,Y,U,less_40
517,N,U,less_5
518,N,U,less_40
519,N,U,
520,N,U,less_15
521,N,U,less_40
522,N,U,less_40
523,N,U,less_40
524,N,U,less_15
525,Y,U,less_40
526,N,U,less_40
527,N,U,less_40
528,Y,F,less_40
529,N,U,less_40
530,N,U,less_40
531,Y,F,less_40
532,N,U,less_15
533,N,F,less_5
534,N,U,higher_40
535,Y,F,less_15
536,N,U,less_15
537,N,U,less_5
538,N,U,less_15
539,N,U,less_5
540,R,F,less_40
541,N,U,less_5
542,R,F,higher_40
543,N,F,higher_40
544,R,F,less_5
545,N,U,less_40
546,N,U,less_40
547,N,F,less_15
548,N,U,less_5
549,N,U,less_15
550,N,F,less_15
551,N,U,
552,N,U,less_15
553,N,U,less_5
554,R,F,higher_40
555,R,F,less_40
556,N,U,less_40
557,Y,F,less_40
558,N,F,less_40
559,N,F,less_15
560,N,U,less_5
561,N,U,less_15
562,N,U,less_5
563,N,U,less_15
564,N,U,less_40
565,N,,
566,N,U,less_5
567,N,U,higher_40
568,R,U,less_15
569,N,U,less_15
570,N,U,less_5
571,N,,
572,N,F,less_5
573,N,U,less_15
574,N,U,less_40
575,N,U,less_40
576,N,U,higher_40
577,N,U,less_15
578,N,U,less_5
579,S,F,less_5
580,S,F,less_5
581,N,F,less_5
582,R,F,less_40
583,N,U,less_40
584,R,F,higher_40
585,N,U,less_40
586,N,,less_5
587,Y,U,less_40
588,Y,F,less_40
